Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
BVAR11;Outros;1400;3,46%;6,00%;1,76;875756000;34;46;8820,61;338,77;3,84%;22,21%
CACR11;;97,8;14,90%;16,21%;1,02;472992000;1085160;0;0;0;0,00%;0,00%
CARE11;Híbrido;1,2;-9,36%;0,00%;0,17;42923900;39168;1;0;0;0,00%;0,00%
CBOP11;Lajes Corporativas;27,19;2,59%;3,88%;0,4;38473800;50274;1;2352,84;313,7;13,33%;41,60%
CCME11;;8,93;10,38%;10,74%;0,86;605428000;148424;2;5025,23;462,45;9,20%;36,74%
CEOC11;Lajes Corporativas;42,9;12,43%;12,39%;0,59;77893400;29388;1;4939,6;735,92;14,90%;0,00%
CFII11;Híbrido;863,66;4,74%;18,81%;0,72;109097000;21;8;13319,3;614,38;4,61%;0,00%
CJCT11;Lajes Corporativas;56,04;2,52%;2,88%;0,77;175966000;92822;1;9130,33;575,8;6,31%;36,40%
CLIN11;Títulos e Val. Mob.;91;12,22%;13,07%;0,93;395555000;1108460;0;0;0;0,00%;0,00%
CNES11;Lajes Corporativas;1,02;8,67%;8,37%;0,13;34817500;48963;1;107,89;35,93;33,30%;59,40%
CPLG11;Logística;11,09;0,32%;6,61%;1,14;394556000;2931960;1;507,27;2,89;0,57%;0,00%
CPOF11;Híbrido;108,5;3,65%;8,13%;0,98;481639000;7474640;7;3,88;0,28;7,09%;99,97%
CPSH11;Shoppings;9,7;5,82%;12,34%;0,82;773088000;2482100;7;1025,1;76,49;7,46%;0,00%
CPTR11;Títulos e Val. Mob.;7,38;17,39%;11,33%;0,75;305385000;2002020;0;0;0;0,00%;0,00%
CPTS11;Títulos e Val. Mob.;7,35;8,48%;12,42%;0,84;2336040000;8696030;0;0;0;0,00%;0,00%
CPUR11;Híbrido;10,35;7,08%;10,60%;1,05;645541000;6751990;11;7152,34;413,36;5,78%;0,51%
CRAA11;Títulos e Val. Mob.;94,78;8,52%;13,31%;0,93;224613000;696676;0;0;0;0,00%;0,00%
CRFF11;Títulos e Val. Mob.;75,79;9,83%;9,62%;0,91;52298100;161015;0;0;0;0,00%;0,00%
CTXT11;Lajes Corporativas;5,81;-22,48%;0,00%;0,23;22783500;1167;1;496,93;1,71;0,34%;100,00%
CVBI11;Títulos e Val. Mob.;87,85;13,09%;12,81%;0,95;967249000;1904470;0;0;0;0,00%;0,00%
CXAG11;Outros;72,57;12,18%;12,39%;0,63;151716000;130622;32;2631,99;356,57;13,55%;0,00%
CXCE11;Lajes Corporativas;38,99;13,91%;13,09%;0,62;66787900;15947;1;3147,5;482,51;15,33%;0,00%
