Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
PATA11;Outros;10,68;9,61%;7,97%;1,07;18177400;10401;0;0;0;0,00%;0,00%
PATC11;Lajes Corporativas;36,99;4,66%;4,36%;0,9;128630000;1369210;4;16507,4;1145,24;6,94%;0,00%
PATL11;Logística;49,63;14,48%;13,62%;0,51;247730000;372544;4;1588,16;272,33;17,15%;8,79%
PEMA11;Títulos e Val. Mob.;51,5;13,53%;14,05%;0,83;28428000;541;0;0;0;0,00%;0,00%
PLAG11;Outros;48,15;11,10%;11,11%;0,79;251432000;539709;12;1820,69;221,89;12,19%;0,00%
PLCA11;Títulos e Val. Mob.;72;21,25%;14,36%;0,76;40105400;66461;0;0;0;0,00%;0,00%
PLCR11;Títulos e Val. Mob.;81,23;15,13%;11,84%;0,89;171328000;263572;0;0;0;0,00%;0,00%
PLRI11;Títulos e Val. Mob.;14,57;4,75%;40,21%;0,8;13904200;6284;0;0;0;0,00%;0,00%
PMFO11;;86,71;8,09%;11,36%;0,99;84620900;10256;0;0;0;0,00%;0,00%
PMIS11;Títulos e Val. Mob.;8,13;11,93%;13,98%;0,88;120350000;274297;0;0;0;0,00%;0,00%
PNDL11;Títulos e Val. Mob.;1050;-0,37%;0,00%;0,99;151549000;115125;0;0;0;0,00%;0,00%
PNPR11;Híbrido;51;4,87%;0,00%;1,33;45788700;27672;0;0;0;0,00%;0,00%
PORD11;Títulos e Val. Mob.;8,3;12,52%;12,74%;0,87;309455000;499882;0;0;0;0,00%;0,00%
PQAG11;Logística;52,79;10,85%;10,43%;0,92;738632000;472774;1;11670,8;1223,78;10,49%;0,00%
PQDP11;Shoppings;2357;10,39%;8,54%;0,7;237022000;187777;1;1805,61;211,44;11,71%;2,16%
PRSN11;Residencial;1,11;-11,85%;45,18%;0,33;3586680;238;2;6918,84;0;0,00%;0,00%
PRSV11;Lajes Corporativas;47,65;-19,79%;0,00%;0,32;10174800;800;1;1029,09;0;0,00%;100,00%
PULV11;Títulos e Val. Mob.;7,88;16,48%;11,90%;0,8;94561900;32185;0;0;0;0,00%;0,00%
PVBI11;Lajes Corporativas;78,69;8,66%;8,64%;0,75;2134870000;3731670;7;20263,7;1843,03;9,10%;13,29%
QAGR11;Outros;41;13,19%;12,94%;0,68;206640000;149034;12;1432,53;217,65;15,19%;0,00%
RBCO11;Lajes Corporativas;44;12,33%;8,39%;0,49;166276000;144616;4;3812,31;614,84;16,13%;0,00%
RBDS11;Residencial;2,32;-66,08%;0,00%;0,13;293533;68;0;0;0;0,00%;0,00%
RBFF11;Títulos e Val. Mob.;52,1;12,41%;11,65%;0,86;195334000;353770;0;0;0;0,00%;0,00%
RBHG11;Títulos e Val. Mob.;69,49;11,94%;14,58%;0,79;150651000;215526;0;0;0;0,00%;0,00%
RBHY11;Títulos e Val. Mob.;81,05;12,73%;14,95%;0,87;153469000;296263;0;0;0;0,00%;0,00%
RBIR11;Residencial;87,69;3,18%;4,57%;0,94;134044000;109922;1;61783,2;0;0,00%;0,00%
RBLG11;Logística;46;15,08%;17,44%;0,69;29449200;1113;1;284,44;28,21;9,92%;0,00%
RBOP11;Outros;202;17,67%;10,16%;0,29;20536100;25366;2;1143,63;152,2;13,31%;81,98%
RBRD11;;40,56;13,21%;12,64%;0,63;75108400;42151;4;2678,6;385,51;14,39%;0,00%
RBRF11;Títulos e Val. Mob.;7,02;15,88%;11,67%;0,82;960390000;2045490;0;0;0;0,00%;0,00%
RBRI11;Híbrido;800,01;52,43%;40,06%;0,98;111733000;4280;0;0;0;0,00%;0,00%
RBRL11;Logística;79,99;9,31%;10,80%;0,76;534896000;446629;5;2111,36;256,51;12,15%;0,00%
RBRP11;Outros;50,32;6,84%;12,15%;0,66;612857000;1242060;6;9749,11;685,7;7,03%;0,00%
RBRR11;Títulos e Val. Mob.;86,89;10,29%;11,99%;0,94;1308320000;2375770;0;0;0;0,00%;0,00%
RBRS11;Híbrido;43,97;-1,77%;0,64%;0,46;76257100;51610;3;11905,9;728,53;6,12%;29,54%
RBRX11;Títulos e Val. Mob.;8,15;12,30%;12,62%;0,84;240170000;364098;1;9687,14;0;0,00%;0,00%
RBRY11;Títulos e Val. Mob.;93,24;10,80%;12,58%;0,97;1190630000;2395250;0;0;0;0,00%;0,00%
RBTS11;Outros;306,04;-2,77%;6,64%;0,79;17298900;345;0;0;0;0,00%;0,00%
RBVA11;Outros;8,7;84,38%;11,78%;0,08;135844000;1864720;82;450,47;498,87;110,74%;8,76%
RCFF11;Títulos e Val. Mob.;98;27,00%;20,81%;0,96;31673600;6683;0;0;0;0,00%;0,00%
RCRB11;Lajes Corporativas;129;8,00%;8,62%;0,64;476100000;1479920;9;12153,5;1231,94;10,14%;2,30%
RECD11;Títulos e Val. Mob.;10;5,41%;7,56%;1,01;54537800;378;0;0;0;0,00%;0,00%
RECM11;Híbrido;8,95;5,42%;6,73%;0,91;75184600;19717;0;0;0;0,00%;0,00%
RECR11;Títulos e Val. Mob.;84,51;13,02%;13,36%;0,94;2234580000;2742310;1;43465,6;0;0,00%;100,02%
RECT11;Híbrido;33,7;13,24%;12,67%;0,37;287916000;265324;9;3788,13;776,67;20,50%;7,30%
REIT11;Títulos e Val. Mob.;85;10,50%;8,45%;0,29;2234740;81;0;0;0;0,00%;0,00%
RELG11;Híbrido;72,94;4,81%;6,42%;0,65;97343000;424682;5;993,97;181,56;18,27%;8,47%
RENV11;Outros;7,01;-5,82%;3,62%;0,75;7197830;4814;0;0;0;0,00%;0,00%
RFOF11;Títulos e Val. Mob.;62,09;11,91%;13,14%;0,89;66943200;165678;0;0;0;0,00%;0,00%
RINV11;Títulos e Val. Mob.;103,56;7,79%;12,60%;1,01;339628000;408750;0;0;0;0,00%;0,00%
RMAI11;Híbrido;72,7;8,24%;7,88%;0,68;177664000;66260;2;4226,88;498,55;11,79%;38,25%
RNDP11;Títulos e Val. Mob.;40,5;7,21%;37,14%;0,72;4352980;1154;0;0;0;0,00%;0,00%
RNGO11;Lajes Corporativas;45,05;10,75%;10,06%;0,54;120554000;51452;4;2065,57;301,95;14,62%;13,21%
ROOF11;Outros;420;-11,70%;0,00%;1,01;32547900;1025;42;1281,16;0,18;0,01%;0,00%
RPRI11;Títulos e Val. Mob.;87,35;12,54%;13,85%;0,88;303255000;329691;0;0;0;0,00%;0,00%
RRCI11;Títulos e Val. Mob.;73,39;13,20%;13,73%;0,81;35356100;11336;0;0;0;0,00%;0,00%
RSPD11;Residencial;922,51;6,98%;7,79%;0,95;137464000;16547;1;80359,2;0;0,00%;0,00%
RURA11;Títulos e Val. Mob.;8,52;12,59%;11,92%;0,83;1364050000;1868610;0;0;0;0,00%;0,00%
RVBI11;Títulos e Val. Mob.;64,8;13,06%;13,42%;0,86;665886000;1090220;0;0;0;0,00%;0,00%
RZAG11;Títulos e Val. Mob.;8,92;18,68%;14,86%;0,93;606921000;1214060;0;0;0;0,00%;0,00%
RZAK11;Títulos e Val. Mob.;80,06;15,74%;16,71%;0,93;705159000;1811610;0;0;0;0,00%;0,00%
RZAT11;Híbrido;91,45;-57,20%;13,66%;0,9;387295000;781139;11;1275,76;114,4;8,97%;0,00%
RZEO11;Outros;193;-0,28%;26,96%;0,95;608514000;146;36;970,63;208,45;21,48%;0,00%
RZLC11;Outros;1009,87;8,10%;8,09%;1,01;50493500;749215;0;0;0;0,00%;0,00%
RZTR11;Títulos e Val. Mob.;92,69;17,69%;12,63%;0,96;1747370000;3737680;17;2,64;0,31;11,85%;24,40%
RZZR11;Outros;160;7,62%;8,62%;0,96;808556000;53373;10;38,95;3,12;8,01%;0,00%
RZZV11;Logística;1000;2,78%;2,08%;0,99;109451000;13902;1;637,92;18,36;2,88%;0,00%
SADI11;Títulos e Val. Mob.;8,68;12,43%;12,35%;0,9;134426000;149188;0;0;0;0,00%;0,00%
SAIC11;Lajes Corporativas;34,04;-2,42%;0,00%;0,61;48668300;4;1;4406,38;70,69;1,60%;100,00%
SAPI11;Títulos e Val. Mob.;8,9;12,79%;12,50%;0,89;137388000;104965;0;0;0;0,00%;0,00%
SARE11;Híbrido;4,68;6,28%;6,14%;0,6;432167000;693411;2;2447,15;297,72;12,17%;89,68%
SCPF11;Híbrido;2,77;1,20%;0,00%;0,26;11634000;4492;2;2366,65;675,7;28,55%;27,01%
SEQR11;Outros;49;14,47%;13,99%;0,52;81619100;109943;4;1996,14;369,95;18,53%;0,00%
SHOP11;Híbrido;21;9,42%;0,00%;0,59;47297200;28703;1;1747,1;292,53;16,74%;44,36%
SHPH11;Shoppings;935;6,38%;6,38%;0,9;569368000;106176;1;14411,6;1179,73;8,19%;1,95%
SJAU11;Logística;25,5;45,20%;13,36%;1,27;202272000;6863;0;0;0;0,00%;0,00%
SMRE11;Outros;78;0,21%;16,02%;0,76;73716100;338368;0;0;0;0,00%;0,00%
SNAG11;Híbrido;9,68;11,46%;12,77%;0,95;587967000;1366820;3;124,67;12,03;9,65%;0,00%
SNCI11;Títulos e Val. Mob.;90,89;12,26%;12,99%;0,93;381738000;435372;0;0;0;0,00%;0,00%
SNEL11;Híbrido;8,59;4,81%;13,59%;1,06;329291000;782752;1;0;0;7,10%;0,00%
SNFF11;Títulos e Val. Mob.;73,4;9,13%;13,26%;0,88;295115000;741601;0;0;0;0,00%;0,00%
SNFZ11;Híbrido;9,61;5,27%;5,48%;0,98;59582000;51645;2;40018,8;613,93;1,53%;0,00%
SNLG11;Híbrido;0,64;428,26%;1,55%;-5,67;1619180;264369;0;0;0;0,00%;0,00%
SNME11;Híbrido;9,67;12,03%;12,87%;1,01;71734400;29380;0;0;0;0,00%;0,00%
SOFF11;Outros;101,94;-6,51%;3,48%;1,09;5097000;94215;0;0;0;0,00%;0,00%
SPTW11;Lajes Corporativas;35,9;25,79%;13,73%;0,61;64548200;56399;1;4497,4;1265,33;28,13%;0,00%
SPXS11;Híbrido;8,81;11,78%;13,24%;0,94;177865000;325932;0;0;0;0,00%;0,00%
TELM11;Híbrido;9,99;5,55%;5,31%;1,01;21452100;25151;1;0;0;0,00%;0,00%
TEPP11;Lajes Corporativas;83;9,11%;12,74%;0,86;350423000;536628;5;10680,1;1055,78;9,89%;0,00%
TGAR11;Híbrido;89,51;11,56%;14,96%;0,79;2109570000;4733550;5;39,47;1,41;3,57%;0,00%
TJKB11;Lajes Corporativas;252,6;7,53%;13,64%;0,95;294190000;47922;8;7929,97;735,32;9,27%;0,00%
TMPS11;Títulos e Val. Mob.;81,5;12,12%;15,16%;0,87;79785900;271602;0;0;0;0,00%;0,00%
TOPP11;Outros;73,2;6,69%;7,75%;0,74;331467000;400252;2;37808;1327,93;3,51%;19,41%
TORD11;Híbrido;0,63;1,67%;0,77%;0,11;22082400;25782;0;0;0;0,00%;0,00%
TRBL11;Logística;62,05;8,39%;13,58%;0,65;480211000;480145;6;1262,68;218,7;17,32%;0,00%
TRNT11;Lajes Corporativas;98;6,26%;0,26%;0,56;385685000;12068;1;6377,22;612,24;9,60%;34,20%
TRXB11;Híbrido;124,98;7,57%;16,22%;1,18;426663000;3444240;13;1764,23;231,79;13,14%;0,00%
TRXF11;Híbrido;102,27;10,83%;12,32%;1,01;2049040000;6470130;40;2968,75;236,27;7,96%;0,00%
TRXY11;Híbrido;9,23;4,65%;6,52%;0,99;33317700;283215;0;0;0;0,00%;0,00%
TSER11;Lajes Corporativas;102;11,25%;11,15%;1,03;141246000;2;1;2872,25;251,03;8,74%;0,00%
TSNC11;Híbrido;84,44;3,31%;863,14%;1,06;91767700;18;1;7287,97;-5,27;-0,07%;100,00%
TVRI11;Lajes Corporativas;90,55;10,23%;13,04%;0,89;1441530000;1054730;61;3431,31;483,66;14,10%;2,83%
URHF11;;92;23,30%;13,60%;0,96;10158400;2467;0;0;0;0,00%;0,00%
URPR11;Outros;49,35;12,32%;21,47%;0,49;579068000;1408120;0;0;0;0,00%;0,00%
VCJR11;Títulos e Val. Mob.;86,08;13,43%;13,02%;0,92;1267440000;1409230;0;0;0;0,00%;0,00%
VCRA11;Títulos e Val. Mob.;66,76;19,71%;17,39%;0,65;306690000;750868;0;0;0;0,00%;0,00%
VCRI11;Títulos e Val. Mob.;7,57;11,04%;14,34%;0,8;155516000;134365;0;0;0;0,00%;0,00%
VCRR11;Logística;62,81;10,83%;10,88%;0,49;125620000;205870;4;2212,79;478,22;21,61%;0,00%
VGHF11;;7,69;11,88%;13,75%;0,9;1266710000;2817980;0;0;0;0,00%;0,00%
VGIA11;Títulos e Val. Mob.;8,88;14,00%;15,25%;0,92;767721000;1616650;0;0;0;0,00%;0,00%
VGIP11;Títulos e Val. Mob.;81,83;12,30%;12,43%;0,91;964550000;1309490;0;0;0;0,00%;0,00%
VGIR11;Títulos e Val. Mob.;9,57;11,96%;13,41%;0,98;1398190000;6239330;0;0;0;0,00%;0,00%
VGRI11;;8,05;17,02%;21,20%;0,76;281925000;611012;5;4988,49;920,99;18,46%;20,64%
VHFA11;Outros;10,2;14,79%;3,57%;1;81520100;344130;0;0;0;0,00%;0,00%
VILG11;Logística;86;8,61%;8,83%;0,76;1289780000;1654410;15;2267,79;234,61;10,35%;3,04%
VINO11;Lajes Corporativas;5,08;10,75%;12,12%;0,49;420758000;616572;10;6262,81;1040,53;16,61%;7,82%
VISC11;Shoppings;103,26;9,12%;9,54%;0,83;2976850000;3874630;30;2825,62;280,72;9,93%;5,31%
VIUR11;Outros;5,75;14,31%;13,81%;0,66;154941000;239801;7;2251,24;329,31;14,63%;3,14%
VOTS11;Títulos e Val. Mob.;77,84;13,51%;10,67%;0,86;64444700;11288;0;0;0;0,00%;0,00%
VRTA11;Títulos e Val. Mob.;82;12,41%;12,24%;0,92;1278580000;1433200;0;0;0;0,00%;0,00%
VRTM11;Híbrido;7,11;10,05%;15,21%;0,76;333966000;435221;24;4358,63;0;0,00%;0,00%
VSHO11;Shoppings;70,71;12,25%;10,78%;0,68;148406000;35078;3;1673,05;386,08;23,08%;10,21%
VSLH11;Outros;2,95;9,42%;14,66%;0,29;88099100;151837;0;0;0;0,00%;0,00%
VTLT11;Logística;90,14;12,66%;12,42%;0,86;190646000;59504;1;737,03;107,2;14,54%;0,00%
VVCR11;Títulos e Val. Mob.;10,15;10,52%;11,12%;0,97;76209600;40421;0;0;0;0,00%;0,00%
VVMR11;Híbrido;81,99;3,82%;8,37%;0,76;231473000;1340940;5;6553,53;544,6;8,31%;2,83%
VVRI11;Híbrido;75;9,79%;12,78%;0,78;60201200;103889;2;2220,65;424,74;19,13%;0,00%
VXXV11;Outros;700;-0,78%;34,13%;1,14;193512000;885197;1;92,32;3,4;3,68%;90,00%
WHGR11;Híbrido;9,02;12,66%;13,09%;0,94;278830000;259778;1;6934,16;0;0,00%;0,00%
WPLZ11;Shoppings;49,69;8,12%;8,10%;0,74;58015500;5977;1;1531,65;139,09;9,08%;10,22%
WSEC11;Títulos e Val. Mob.;6,28;16,37%;13,01%;0,72;15426900;5180;0;0;0;0,00%;0,00%
WTSP11;Híbrido;56,95;23,15%;19,78%;0,68;70536700;1594;1;5719,05;325,76;5,70%;4,14%
XPCA11;Títulos e Val. Mob.;7,77;13,29%;12,51%;0,81;353714000;846312;0;0;0;0,00%;0,00%
XPCI11;Títulos e Val. Mob.;80,1;11,88%;12,59%;0,91;696994000;1267560;0;0;0;0,00%;0,00%
XPCM11;Lajes Corporativas;6,89;-13,83%;0,00%;0,26;16636400;11204;1;848,36;27,46;3,24%;58,00%
XPIN11;Outros;71,4;7,75%;11,64%;0,68;510540000;318269;81;1976,13;242,13;12,25%;6,01%
XPLG11;Logística;99,97;8,02%;9,44%;0,94;3116660000;3129460;17;2945,04;258,17;8,77%;1,34%
XPML11;Shoppings;104,73;9,62%;10,44%;0,89;5940370000;11333700;15;12047,8;1015,66;8,43%;4,57%
XPSF11;Títulos e Val. Mob.;6,3;13,34%;12,74%;0,82;272803000;415496;0;0;0;0,00%;0,00%
ZAGH11;Híbrido;10,39;5,24%;7,33%;1,11;92384400;13806;1;2562,99;81;3,16%;0,00%
ZAVC11;Títulos e Val. Mob.;8,7;15,10%;17,55%;0,87;26946900;26128;0;0;0;0,00%;0,00%
ZAVI11;Híbrido;93,58;16,70%;15,29%;0,72;109799000;75795;9;1509,96;223,78;14,82%;0,83%
ZIFI11;Híbrido;589,99;-2,36%;0,00%;0,33;28015700;4830;0;0;0;0,00%;0,00%
